City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,caleta de carquin,-11.0925,-77.6267,295.29,70,broken clouds,4.42,PE,1690657936
281,puerto lempira,15.2667,-83.7667,302.65,76,light rain,5.36,HN,1690658163
282,pariaman,-0.619,100.12,300.18,87,overcast clouds,1.46,ID,1690658163
283,fortuna,40.5982,-124.1573,293.67,75,broken clouds,4.12,US,1690658165
284,badger,64.8,-147.5333,293.08,81,haze,3.6,US,1690657819
285,kayangel,8.0823,134.7173,301.49,77,overcast clouds,6.14,PW,1690658165
286,ewo,-0.8725,14.8206,302.35,47,broken clouds,1.31,CG,1690657878
287,bayanhongor,46.7167,100.1167,292.68,28,overcast clouds,2.58,MN,1690658166
288,okhotsk,59.3833,143.3,286.2,97,overcast clouds,2.09,RU,1690658166
289,hachinohe,40.5,141.5,295.92,83,overcast clouds,3.33,JP,1690657958
290,lorengau,-2.0226,147.2712,300.51,77,overcast clouds,0.64,PG,1690657771
291,santiago de cao,-7.9589,-79.2392,296.22,73,fog,4.63,PE,1690658167
292,as sanad,34.4628,9.264,312.29,23,clear sky,4.42,TN,1690658168
293,rothenbach an der pegnitz,49.483,11.2412,295.01,69,clear sky,3.6,DE,1690658168
294,cockburn town,21.4612,-71.1419,305.13,62,scattered clouds,6.17,TC,1690657812
295,kasongo-lunda,-6.4667,16.8167,299.75,37,clear sky,0.73,CD,1690658169
296,oyama,36.3,139.8,302.92,73,few clouds,1.33,JP,1690658169
297,arraial do cabo,-22.9661,-42.0278,294.07,73,overcast clouds,2.57,BR,1690657717
298,palmer,42.1584,-72.3287,303.5,63,broken clouds,4.12,US,1690658130
299,coahuayana de hidalgo,18.7,-103.6583,308.7,48,clear sky,3.22,MX,1690657746
300,tofol,5.3248,163.0078,301.81,75,light rain,3.64,FM,1690658170
301,pindi gheb,33.2402,72.2661,304.43,61,broken clouds,3.48,PK,1690658170
302,okha,53.5739,142.9478,284.74,98,overcast clouds,4.33,RU,1690658171
303,weyburn,49.6668,-103.8511,296.27,38,few clouds,1.54,CA,1690658171
304,hermanus,-34.4187,19.2345,283.04,73,light rain,8.88,ZA,1690657740
305,banamba,13.55,-7.45,303.83,52,scattered clouds,3.22,ML,1690658173
306,nuuk,64.1835,-51.7216,280.1,83,overcast clouds,6.98,GL,1690657831
307,ialibu,-6.2821,143.9935,286.72,98,broken clouds,0.32,PG,1690658174
308,shingu,33.7333,135.9833,297.87,88,overcast clouds,1.33,JP,1690657912
309,porto torres,40.835,8.3972,299.25,72,clear sky,1.67,IT,1690658175
310,bratsk,56.1325,101.6142,292.42,79,light rain,0.99,RU,1690658175
311,ocean shores,46.9737,-124.1563,292.6,75,overcast clouds,5.66,US,1690658176
312,brookings,44.3114,-96.7984,299.34,50,clear sky,4.63,US,1690657880
313,ron phibun,8.1791,99.8542,297.96,94,broken clouds,2.4,TH,1690658176
314,qamdo,31.1667,97.2333,280.9,65,broken clouds,0.9,CN,1690657903
315,bellefonte,40.9134,-77.7783,301.38,69,broken clouds,5.66,US,1690658177
316,pingnan,23.5543,110.3976,299.5,92,broken clouds,0.24,CN,1690658177
317,laojunmiao,39.8333,97.7333,295.9,35,clear sky,2.78,CN,1690657606
318,la ronge,55.1001,-105.2842,297.27,35,smoke,5.14,CA,1690658178
319,pecos,31.4229,-103.4932,309.61,19,clear sky,2.57,US,1690658178
320,rongelap,11.1635,166.8941,301.5,80,light rain,9.93,MH,1690658178
321,saint croix,17.7397,-64.7388,303.4,66,clear sky,7.72,VI,1690658179
322,patu,-6.11,-37.6367,307.21,25,clear sky,4.04,BR,1690658180
323,klaksvik,62.2266,-6.589,287.66,98,overcast clouds,8.51,FO,1690658180
324,anantapur,14.6833,77.6,298.75,73,scattered clouds,8.5,IN,1690658180
325,vorgashor,67.5833,63.95,286.35,86,few clouds,1.93,RU,1690657749
326,guerrero negro,27.9769,-114.0611,300.68,47,clear sky,5.3,MX,1690657890
327,kirakira,-10.4544,161.9205,298.43,89,light rain,3.96,SB,1690657689
